date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2021-02-12,57.4,143.0,210,1.72,243.0,111.8,0.46,-5.979166666666667,-3,120.375,207.3333333333333,11.979166666666666,109.33333333333331,452,174.47916666666666,745,3.4770833333333333,2.2,4.1,0.0,0.0,0.0,67.95625,56.9,81.5,1027.86875,1026.7,1030.6,68.9375,60,85,6.8125,4.6,8.6,6
2021-02-13,62.5,143.0,210,1.72,243.0,111.8,0.46,-5.291666666666667,-2,126.75,219.3333333333333,3.514583333333333,118.60416666666669,473,195.625,779,2.029166666666667,1.7,2.4,0.0,0.0,0.0,57.26875,45.6,67.6,1034.4833333333331,1030.9,1037.4,69.5,65,76,7.133333333333333,5.8,8.0,6
2021-02-14,54.3,143.0,210,1.72,243.0,111.8,0.46,-4.583333333333333,2,129.16666666666666,222.7708333333333,23.27916666666667,124.79166666666669,500,207.0208333333333,819,2.989583333333333,1.8,6.0,0.0,0.0,0.0,65.50208333333333,44.0,82.4,1036.5458333333331,1035.0,1038.0,113.75,55,163,3.64375,1.7,5.9,6
2021-02-15,5.8,143.0,210,1.72,243.0,111.8,0.46,0.6666666666666666,4,117.66666666666669,195.16666666666663,61.25625,47.625,183,45.97916666666666,177,13.94375,6.3,19.3,0.0041666666666666,0.0,0.1,67.96249999999999,55.4,81.4,1030.8479166666668,1027.7,1035.0,191.7708333333333,168,214,6.3812500000000005,4.7,8.7,6
2021-02-16,22.9,143.0,210,1.72,243.0,111.8,0.46,7.166666666666667,12,120.4375,199.60416666666663,46.31875,101.83333333333331,445,148.8125,712,17.433333333333334,12.9,20.8,0.0479166666666666,0.0,0.6,72.57291666666667,57.0,85.8,1021.1166666666668,1016.7,1027.7,200.4583333333333,180,226,6.585416666666667,4.4,8.3,6
2021-02-17,25.9,143.0,210,1.72,243.0,111.8,0.46,7.416666666666667,12,123.08333333333331,202.41666666666663,25.42708333333333,105.45833333333331,458,155.6875,702,12.883333333333333,9.2,18.1,0.0020833333333333,0.0,0.1,82.28125,62.4,92.8,1021.3458333333332,1018.8,1022.7,207.0208333333333,164,229,5.670833333333333,4.0,7.7,6
2021-02-18,20.8,143.0,210,1.72,243.0,111.8,0.46,6.145833333333333,11,122.22916666666669,197.0208333333333,41.61875,91.9375,448,125.22916666666669,677,13.541666666666666,8.4,19.6,0.0541666666666666,0.0,0.4,76.73333333333333,58.0,92.9,1015.9979166666668,1012.0,1020.6,186.5,166,225,6.239583333333333,4.3,8.8,6
2021-02-19,30.2,143.0,210,1.72,243.0,111.8,0.46,9.041666666666666,14,122.75,194.4583333333333,45.875,98.9375,473,142.29166666666666,729,16.664583333333333,14.1,19.6,0.0375,0.0,0.2,83.25208333333333,65.3,95.1,1019.075,1017.4,1020.6,193.2083333333333,157,228,3.9270833333333335,2.4,6.5,6
2021-02-20,41.1,143.0,210,1.72,243.0,111.8,0.46,9.270833333333334,17,128.22916666666666,204.35416666666663,26.152083333333334,127.41666666666669,497,201.7083333333333,771,14.008333333333333,8.6,18.6,0.0,0.0,0.0,75.78333333333333,49.0,91.9,1018.0291666666668,1016.5,1019.4,183.4375,169,201,4.335416666666666,3.2,5.9,6
2021-02-21,55.2,143.0,210,1.72,243.0,111.8,0.46,9.166666666666666,18,138.4375,223.5833333333333,3.73125,138.35416666666666,531,223.22916666666663,830,8.058333333333334,6.4,9.6,0.0,0.0,0.0,71.46666666666667,41.1,90.3,1017.4645833333334,1016.1,1018.9,180.4583333333333,25,358,2.4145833333333333,0.7,5.0,6
