production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
51.9,143.0,210,1.72,251.0,111.8,0.445,9.541666666666666,19,153.75,239.54166666666663,0.1458333333333333,152.9375,566,237.79166666666663,854,8.3375,7.0,10.5,0.0,0.0,0.0,63.0625,29.4,84.2,1026.7895833333334,1022.2,1031.5,127.0,42,209,1.8958333333333333,0.4,6.1
45.5,143.0,210,1.72,251.0,111.8,0.445,10.8125,18,145.5625,219.0208333333333,1.20625,143.08333333333334,539,212.4375,796,12.920833333333334,8.2,18.6,0.0645833333333333,0.0,0.7,60.81458333333333,43.2,74.7,1020.0833333333334,1018.5,1022.1,232.10416666666663,209,273,6.835416666666667,5.5,8.7
2.5,143.0,210,1.72,251.0,111.8,0.445,8.715789473684211,10,138.4,199.1578947368421,50.4821052631579,31.894736842105264,172,30.8,166,16.55578947368421,13.7,19.0,0.483157894736842,0.0,1.5,83.75684210526316,75.3,87.8,1017.0273684210526,1014.7,1020.6,257.4421052631579,219,288,6.078947368421052,4.2,7.8
8.1,143.0,210,1.72,251.0,111.8,0.445,8.770833333333334,11,149.5,221.41666666666663,43.35625,63.8125,298,61.958333333333336,306,14.839583333333332,13.6,17.3,0.03125,0.0,0.1,79.54375,63.1,88.8,1018.5958333333332,1017.0,1020.6,214.3125,199,245,5.658333333333334,3.9,7.3
4.7,143.0,210,1.72,251.0,111.8,0.445,10.8125,13,153.54166666666666,228.75,63.70416666666667,48.5,343,48.625,419,16.422916666666666,13.3,17.8,0.0,0.0,0.0,68.0625,57.4,81.6,1014.1208333333334,1006.4,1018.7,210.2708333333333,192,227,8.525,7.4,10.3
13.8,143.0,210,1.72,251.0,111.8,0.445,9.673469387755102,12,152.0,222.6122448979592,63.05918367346939,65.48979591836735,459,73.77551020408163,606,14.406122448979591,10.4,17.2,0.3204081632653061,0.0,1.6,63.58979591836735,51.6,80.5,1004.0551020408162,1000.1,1010.1,221.1836734693877,195,246,10.540816326530612,8.0,13.8
4.1,143.0,210,1.72,251.0,111.8,0.445,7.458333333333333,9,160.64583333333334,237.3958333333333,60.19375,49.35416666666666,229,47.85416666666666,221,14.241666666666667,10.3,18.0,0.25625,0.0,1.0,77.29166666666667,65.3,85.2,1011.7041666666668,1010.1,1013.8,218.875,182,254,7.697916666666667,5.4,9.8
23.8,143.0,210,1.72,251.0,111.8,0.445,9.125,15,164.35416666666666,242.16666666666663,46.45416666666667,109.33333333333331,509,130.22916666666666,699,14.929166666666667,11.4,21.1,0.0041666666666666,0.0,0.1,68.10833333333333,45.5,87.3,1005.7395833333334,998.7,1013.2,172.29166666666666,153,190,5.454166666666667,3.4,6.8
24.5,143.0,210,1.72,251.0,111.8,0.445,9.791666666666666,12,167.91666666666666,246.25,40.8,97.125,572,123.0,830,14.5,10.7,19.3,0.1729166666666667,0.0,0.7,69.13958333333333,54.9,82.1,1003.2645833333332,996.4,1009.6,205.97916666666663,156,235,9.160416666666666,4.8,11.5
26.6,143.0,210,1.72,251.0,111.8,0.445,8.833333333333334,12,173.35416666666666,253.5625,40.98125,102.625,419,117.72916666666669,534,11.375,9.3,15.2,0.06875,0.0,0.5,63.03125,41.3,80.4,1016.11875,1009.9,1019.6,229.8958333333333,203,247,7.597916666666666,5.3,9.6
3.2,143.0,210,1.72,251.0,111.8,0.445,10.0,12,168.39583333333334,241.0625,56.825,40.770833333333336,159,39.395833333333336,153,15.839583333333332,12.8,20.6,0.09375,0.0,0.6,74.97500000000001,65.8,80.7,1018.7833333333332,1017.2,1020.4,222.8333333333333,201,239,10.085416666666667,8.4,12.2
26.2,143.0,210,1.72,251.0,111.8,0.445,11.395833333333334,15,171.39583333333334,244.04166666666663,45.614583333333336,109.89583333333331,595,142.52083333333334,842,16.539583333333333,7.3,27.4,0.45625,0.0,2.4,69.28541666666666,44.1,89.9,1014.3791666666666,1010.1,1021.5,239.1458333333333,188,274,11.829166666666666,7.9,15.0
24.5,143.0,210,1.72,251.0,111.8,0.445,5.375,7,174.64583333333334,244.97916666666663,27.32708333333333,102.10416666666669,587,118.77083333333331,804,8.804166666666667,7.6,10.9,0.1791666666666666,0.0,0.9,65.04791666666667,47.4,75.0,1023.0541666666668,1019.5,1028.1,261.1458333333333,237,277,8.045833333333333,4.8,10.7
28.1,143.0,210,1.72,251.0,111.8,0.445,6.833333333333333,12,184.41666666666663,262.3125,33.80416666666667,134.95833333333334,479,161.125,611,10.1375,6.9,18.0,0.0604166666666666,0.0,0.9,56.958333333333336,30.7,83.9,1019.6166666666668,1007.4,1028.8,202.2708333333333,183,252,7.53125,4.9,11.6
27.1,143.0,210,1.72,251.0,111.8,0.445,6.791666666666667,9,180.5208333333333,251.875,38.61875,122.8125,538,141.10416666666666,699,11.05625,8.7,15.9,0.2291666666666666,0.0,1.0,70.95,59.2,83.4,1013.31875,1010.1,1015.1,238.29166666666663,221,267,9.1,7.6,11.2
1.7,143.0,210,1.72,251.0,111.8,0.445,6.375,8,180.91666666666663,251.875,73.6375,43.97916666666666,176,42.66666666666666,170,15.504166666666668,12.5,20.5,0.6375000000000001,0.0,1.8,84.59583333333333,81.1,89.6,1011.1229166666668,1005.7,1015.9,234.79166666666663,209,277,10.377083333333331,5.9,14.3
1.1,143.0,210,1.72,251.0,111.8,0.445,10.354166666666666,12,177.5625,243.7083333333333,79.61666666666666,32.708333333333336,136,31.58333333333333,132,22.43541666666667,13.2,26.3,0.5,0.1,1.6,84.95,80.7,91.3,1012.7125,1010.9,1015.6,237.5,205,249,9.816666666666666,6.0,12.4
29.0,143.0,210,1.72,251.0,111.8,0.445,11.333333333333334,13,190.0833333333333,263.0833333333333,41.020833333333336,126.6875,586,152.72916666666666,812,15.172916666666666,6.3,24.9,0.0770833333333333,0.0,0.3,70.49374999999999,57.7,82.1,1013.9520833333332,1008.4,1017.1,228.1875,206,240,9.3375,7.4,11.4
13.2,143.0,210,1.72,251.0,111.8,0.445,8.333333333333334,14,188.875,257.375,30.45833333333333,73.14583333333333,398,80.85416666666667,519,11.295833333333334,6.1,18.6,0.1854166666666666,0.0,1.2,68.96666666666667,51.9,84.2,1008.9166666666666,1005.5,1016.1,234.3958333333333,203,280,7.8,4.5,10.0
16.4,143.0,210,1.72,251.0,111.8,0.445,5.145833333333333,8,198.5833333333333,271.0833333333333,22.102083333333336,87.02083333333333,436,95.22916666666669,501,9.277083333333334,8.5,9.9,0.08125,0.0,0.3,80.62916666666666,68.3,92.3,1020.2583333333332,1016.1,1024.5,236.3125,212,259,4.5875,2.6,6.5
40.4,143.0,210,1.72,251.0,111.8,0.445,5.0625,10,203.2708333333333,276.2083333333333,3.5375,186.8333333333333,635,244.66666666666663,846,7.991666666666667,6.5,9.5,0.0166666666666666,0.0,0.2,73.00833333333334,42.9,98.4,1027.80625,1024.5,1031.9,89.22916666666667,14,250,1.9270833333333333,0.2,3.8
