,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
35,42.1,143.0,210,1.72,218.0,94.6,0.434,0.625,5,103.9375,188.29166666666663,1.2291666666666667,103.70833333333331,433,187.3958333333333,741,7.320833333333333,6.4,8.5,0.0,0.0,0.0,79.71249999999999,61.9,91.4,1029.0395833333334,1027.8,1030.0,176.52083333333334,131,217,2.441666666666667,0.8,4.0
36,39.9,143.0,210,1.72,218.0,94.6,0.434,1.0208333333333333,7,106.97916666666669,193.5208333333333,17.65625,105.125,443,186.5833333333333,758,6.602083333333333,6.1,7.2,0.0,0.0,0.0,74.91041666666668,53.1,85.3,1026.13125,1021.1,1029.1,189.875,179,204,3.520833333333333,2.5,4.8
37,1.5,143.0,210,1.72,218.0,94.6,0.434,2.5625,5,99.91666666666669,173.41666666666666,53.54791666666667,23.791666666666668,150,22.9375,144,13.266666666666666,7.2,19.3,0.13125,0.0,0.5,82.18541666666667,66.5,93.0,1017.8416666666668,1016.0,1021.1,203.3333333333333,191,219,7.354166666666667,5.1,8.5
38,22.9,143.0,210,1.72,218.0,94.6,0.434,6.375,10,102.29166666666669,176.58333333333334,28.75,76.91666666666667,363,103.0625,604,13.439583333333331,10.8,16.9,0.0020833333333333,0.0,0.1,76.26041666666667,63.5,89.8,1017.5958333333332,1012.1,1020.7,194.375,184,205,7.66875,6.4,10.2
39,7.3,143.0,210,1.72,218.0,94.6,0.434,8.854166666666666,11,105.10416666666669,180.25,66.56041666666667,46.458333333333336,266,45.47916666666666,272,13.241666666666667,10.7,16.8,0.0541666666666666,0.0,0.5,67.14375,59.9,77.6,1013.7395833333334,1010.5,1015.6,214.1875,194,228,9.297916666666667,7.6,12.2
40,1.7,143.0,210,1.72,218.0,94.6,0.434,8.8125,13,105.4375,180.91666666666663,75.54375,29.416666666666668,140,28.39583333333333,135,16.195833333333333,11.7,21.1,0.3729166666666666,0.0,2.4,70.57083333333334,55.6,84.5,1004.8479166666666,998.9,1013.3,213.9375,186,245,11.135416666666666,7.8,14.0
41,9.3,143.0,210,1.72,218.0,94.6,0.434,4.625,6,111.83333333333331,191.2083333333333,48.60833333333333,53.10416666666666,279,61.54166666666666,456,9.341666666666669,8.4,12.2,0.0729166666666666,0.0,0.3,78.83749999999999,68.7,91.4,1021.2333333333332,1009.9,1031.4,266.375,248,278,6.241666666666667,3.7,8.7
42,16.3,143.0,210,1.72,218.0,94.6,0.434,2.6875,6,115.47916666666669,198.72916666666663,32.25625,81.1875,362,102.04166666666669,610,10.177083333333334,7.5,12.7,0.0125,0.0,0.1,82.66250000000001,58.1,97.0,1035.6833333333334,1031.9,1038.1,249.0833333333333,165,313,2.3229166666666665,0.6,4.7
43,45.3,143.0,210,1.72,218.0,94.6,0.434,2.208333333333333,9,116.75,197.3125,2.3208333333333333,116.58333333333331,468,196.66666666666663,758,10.435416666666669,9.8,11.6,0.0,0.0,0.0,75.72083333333333,46.8,93.3,1037.2333333333331,1036.2,1038.0,130.08333333333334,91,173,1.3020833333333333,0.9,2.0
44,46.9,143.0,210,1.72,218.0,94.6,0.434,4.333333333333333,12,118.77083333333331,198.6458333333333,3.1750000000000003,118.54166666666669,475,197.8125,767,9.516666666666667,8.0,10.3,0.0,0.0,0.0,71.71666666666667,44.6,85.9,1036.28125,1034.8,1037.7,140.625,85,191,1.9125,0.6,3.7
45,46.7,143.0,210,1.72,218.0,94.6,0.434,5.458333333333333,15,125.0,210.16666666666663,0.0,125.0,494,210.16666666666663,795,6.114583333333333,4.8,7.8,0.0,0.0,0.0,70.38541666666667,41.1,86.7,1032.4958333333334,1030.0,1034.9,144.6875,88,185,1.975,0.8,3.6
