production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
45.7,143.0,1.72,218.0,94.6,0.434,5.204166666666667,0.0,0.0,0.025,349.5625,400.23588290917286,812.75,921,269.052207620625,280.75,362.5461672728804,610.5,947,16.777308637155805,33.1
47.3,143.0,1.72,218.0,94.6,0.434,0.4729166666666667,0.0,0.0,0.0,351.0208333333333,393.0311280825527,795.5,910,269.48952844167485,281.4583333333333,360.7021496749665,604.0,945,18.85252536839448,36.6
42.4,143.0,1.72,218.0,94.6,0.434,2.7770833333333336,0.0,0.0,0.0,197.91666666666663,267.9173287330645,497.75,664,246.2820118156656,233.41666666666663,315.54807661033567,501.0,838,17.109683578696625,45.2
25.4,143.0,1.72,218.0,94.6,0.434,21.01458333333333,0.0,19.950000000000003,35.025,63.625,120.1792322838702,64.75,445,164.07318548451315,136.29166666666666,183.8169716811105,251.5,641,13.842494029525415,38.6
27.8,143.0,1.72,218.0,94.6,0.434,24.945833333333336,0.0,25.85,41.625,96.41666666666669,155.75278192704673,156.75,671,189.38628837221623,168.04166666666666,213.82056091382688,347.75,600,14.271163207348604,44.1
41.1,143.0,1.72,218.0,94.6,0.434,17.04375,0.0,10.2,36.325,221.625,332.52423523899216,497.0,898,249.64527671157165,230.75,322.35651599472175,406.0,935,14.362638070369446,48.2
47.7,143.0,1.72,218.0,94.6,0.434,0.21875,0.0,0.0,0.0,353.7708333333333,391.6169556879139,791.25,910,276.5306210841091,285.1666666666667,362.2279952838763,603.5,946,16.55692308756853,40.1
47.5,143.0,1.72,218.0,94.6,0.434,0.0,0.0,0.0,0.0,364.125,394.0544095167246,804.75,901,280.6856844540648,290.4791666666667,366.0110444551101,621.75,955,18.54324911567435,37.5
46.3,143.0,1.72,218.0,94.6,0.434,0.0,0.0,0.0,0.0,368.0,397.3672399736236,809.25,917,284.74975871570547,294.0208333333333,369.89391748856247,627.25,967,19.504710173997232,27.4
45.6,143.0,1.72,218.0,94.6,0.434,0.9208333333333334,0.0,0.0,0.0,355.1458333333333,385.7631833123668,782.0,891,284.0656670410723,291.4791666666667,366.50941119282027,619.75,958,17.414752346524484,28.7
